x,x_t-1,x_t-2,y1,y2,y3,y4,y5,y1-1,y2-1,y3-1,y4-1,y5-1,y1-2,y2-2,y3-2,y4-2,y5-2
0.01241,0.06173,0.05031,0.00171726,-0.27,0.18127,-0.0172,0.023126685,0.003802045,-0.3,0.06315,-0.0205,0.121794872,0.013038623,-0.31,0.05932,0.0543,-0.065076045
-0.06292,0.01241,0.06173,0.000342639,-0.24,0.02722,-0.0232,-0.028136361,0.00171726,-0.27,0.18127,-0.0172,0.023126685,0.003802045,-0.3,0.06315,-0.0205,0.121794872
-0.1363,-0.06292,0.01241,0.004429876,-0.26,-0.03084,0.0003,-0.081810789,0.000342639,-0.24,0.02722,-0.0232,-0.028136361,0.00171726,-0.27,0.18127,-0.0172,0.023126685
-0.19277,-0.1363,-0.06292,0.004049395,-0.29,0.06547,-0.0573,-0.093233349,0.004429876,-0.26,-0.03084,0.0003,-0.081810789,0.000342639,-0.24,0.02722,-0.0232,-0.028136361
-0.22,-0.19277,-0.1363,0.003345891,-0.27,0.88901,-0.0419,0.037246858,0.004049395,-0.29,0.06547,-0.0573,-0.093233349,0.004429876,-0.26,-0.03084,0.0003,-0.081810789
-0.21541,-0.22,-0.19277,-0.001001063,-0.29,0.38105,-0.044,0.056437943,0.003345891,-0.27,0.88901,-0.0419,0.037246858,0.004049395,-0.29,0.06547,-0.0573,-0.093233349
-0.1415,-0.21541,-0.22,-0.000334201,-0.19,-0.20059,-0.073,-0.005407654,-0.001001063,-0.29,0.38105,-0.044,0.056437943,0.003345891,-0.27,0.88901,-0.0419,0.037246858
-0.0121,-0.1415,-0.21541,-0.036241246,-0.24,-0.12917,-0.0314,0.010874111,-0.000334201,-0.19,-0.20059,-0.073,-0.005407654,-0.001001063,-0.29,0.38105,-0.044,0.056437943
0.14222,-0.0121,-0.1415,0.002536562,-0.27,0.71555,-0.1071,0.129322064,-0.036241246,-0.24,-0.12917,-0.0314,0.010874111,-0.000334201,-0.19,-0.20059,-0.073,-0.005407654
0.26927,0.14222,-0.0121,0.004314219,-0.21,0.83252,0.1114,0.022609515,0.002536562,-0.27,0.71555,-0.1071,0.129322064,-0.036241246,-0.24,-0.12917,-0.0314,0.010874111
0.29968,0.26927,0.14222,0.013038623,-0.2,0.44788,0.1742,-0.000102359,0.004314219,-0.21,0.83252,0.1114,0.022609515,0.002536562,-0.27,0.71555,-0.1071,0.129322064
0.29369,0.29968,0.26927,0.003802045,-0.19,0.4497,-0.1109,0.001791473,0.013038623,-0.2,0.44788,0.1742,-0.000102359,0.004314219,-0.21,0.83252,0.1114,0.022609515
0.28271,0.29369,0.29968,0.00171726,-0.19,0.26678,0.0928,-0.040517065,0.003802045,-0.19,0.4497,-0.1109,0.001791473,0.013038623,-0.2,0.44788,0.1742,-0.000102359
0.26953,0.28271,0.29369,0.000342639,-0.19,0.16868,0.0466,0.067096225,0.00171726,-0.19,0.26678,0.0928,-0.040517065,0.003802045,-0.19,0.4497,-0.1109,0.001791473
0.2392,0.26953,0.28271,0.004429876,-0.15,0.19652,0.0103,0.037626628,0.000342639,-0.19,0.16868,0.0466,0.067096225,0.00171726,-0.19,0.26678,0.0928,-0.040517065
0.1555,0.2392,0.26953,0.004049395,-0.11,0.59916,0.0822,-0.027749723,0.004429876,-0.15,0.19652,0.0103,0.037626628,0.000342639,-0.19,0.16868,0.0466,0.067096225
0.0491,0.1555,0.2392,0.003345891,-0.1,-0.12415,0.039,-0.029333201,0.004049395,-0.11,0.59916,0.0822,-0.027749723,0.004429876,-0.15,0.19652,0.0103,0.037626628
-0.0289,0.0491,0.1555,-0.001001063,-0.13,-0.07154,0.0063,-0.062273862,0.003345891,-0.1,-0.12415,0.039,-0.029333201,0.004049395,-0.11,0.59916,0.0822,-0.027749723
-0.0583,-0.0289,0.0491,-0.000334201,-0.15,-0.3186,-0.0629,0.027987609,-0.001001063,-0.13,-0.07154,0.0063,-0.062273862,0.003345891,-0.1,-0.12415,0.039,-0.029333201
-0.0275,-0.0583,-0.0289,0.001001833,-0.17,0.13064,-0.0223,0.055508564,-0.000334201,-0.15,-0.3186,-0.0629,0.027987609,-0.001001063,-0.13,-0.07154,0.0063,-0.062273862
0.0241,-0.0275,-0.0583,0.002328662,-0.17,0.29742,-0.0368,-0.00681158,0.001001833,-0.17,0.13064,-0.0223,0.055508564,-0.000334201,-0.15,-0.3186,-0.0629,0.027987609
0.0469,0.0241,-0.0275,0.001655719,-0.15,-0.25014,0.0017,-0.040090772,0.002328662,-0.17,0.29742,-0.0368,-0.00681158,0.001001833,-0.17,0.13064,-0.0223,0.055508564
0.0043,0.0469,0.0241,0.00558269,-0.09,0.01562,0.0844,0.089204098,0.001655719,-0.15,-0.25014,0.0017,-0.040090772,0.002328662,-0.17,0.29742,-0.0368,-0.00681158
-0.1338,0.0043,0.0469,0.00130321,-0.02,0.54583,0.0986,0.019678773,0.00558269,-0.09,0.01562,0.0844,0.089204098,0.001655719,-0.15,-0.25014,0.0017,-0.040090772
-0.2873,-0.1338,0.0043,0.001947512,-0.07,0.05822,-0.0571,-0.081263895,0.00130321,-0.02,0.54583,0.0986,0.019678773,0.00558269,-0.09,0.01562,0.0844,0.089204098
-0.36797,-0.2873,-0.1338,-0.000972664,-0.12,-0.15167,-0.0836,-0.071307213,0.001947512,-0.07,0.05822,-0.0571,-0.081263895,0.00130321,-0.02,0.54583,0.0986,0.019678773
-0.33088,-0.36797,-0.2873,0.000972664,-0.19,-0.20975,-0.1098,-0.068300255,-0.000972664,-0.12,-0.15167,-0.0836,-0.071307213,0.001947512,-0.07,0.05822,-0.0571,-0.081263895
-0.20751,-0.33088,-0.36797,0.001616282,-0.21,0.37491,-0.0081,0.107104605,0.000972664,-0.19,-0.20975,-0.1098,-0.068300255,-0.000972664,-0.12,-0.15167,-0.0836,-0.071307213
-0.04996,-0.20751,-0.33088,0.001610289,-0.28,1.64382,0.1,0.055465979,0.001616282,-0.21,0.37491,-0.0081,0.107104605,0.000972664,-0.19,-0.20975,-0.1098,-0.068300255
0.08323,-0.04996,-0.20751,0.001604341,-0.28,1.12636,-0.0935,0.067267543,0.001610289,-0.28,1.64382,0.1,0.055465979,0.001616282,-0.21,0.37491,-0.0081,0.107104605
0.17282,0.08323,-0.04996,0.000320158,-0.23,0.03579,0.1069,0.042606995,0.001604341,-0.28,1.12636,-0.0935,0.067267543,0.001610289,-0.28,1.64382,0.1,0.055465979
0.19765,0.17282,0.08323,-0.000320158,-0.13,0.24769,0.0568,-0.00361523,0.000320158,-0.23,0.03579,0.1069,0.042606995,0.001604341,-0.28,1.12636,-0.0935,0.067267543
0.21129,0.19765,0.17282,0.002236166,-0.19,0.75277,0.0234,0.014283746,-0.000320158,-0.13,0.24769,0.0568,-0.00361523,0.000320158,-0.23,0.03579,0.1069,0.042606995
0.21383,0.21129,0.19765,0.001272659,-0.17,0.19893,0.002,0.007743162,0.002236166,-0.19,0.75277,0.0234,0.014283746,-0.000320158,-0.13,0.24769,0.0568,-0.00361523
0.2091,0.21383,0.21129,0.006620952,-0.18,0.00814,0.0549,-0.001887216,0.001272659,-0.17,0.19893,0.002,0.007743162,0.002236166,-0.19,0.75277,0.0234,0.014283746
0.1909,0.2091,0.21383,0.00156165,-0.06,-0.02048,0.0783,-0.007338045,0.006620952,-0.18,0.00814,0.0549,-0.001887216,0.001272659,-0.17,0.19893,0.002,0.007743162
0.1598,0.1909,0.2091,0,-0.13,0.09257,-0.0872,0.029886621,0.00156165,-0.06,-0.02048,0.0783,-0.007338045,0.006620952,-0.18,0.00814,0.0549,-0.001887216
0.1566,0.1598,0.1909,-0.00156165,-0.12,-0.05185,-0.064,0.020564534,0,-0.13,0.09257,-0.0872,0.029886621,0.00156165,-0.06,-0.02048,0.0783,-0.007338045
0.1511,0.1566,0.1598,0.00031278,-0.07,0.08949,0.1101,0.041681049,-0.00156165,-0.12,-0.05185,-0.064,0.020564534,0,-0.13,0.09257,-0.0872,0.029886621
0.1045,0.1511,0.1566,0.001560528,-0.07,-0.04581,0.0216,-0.039723304,0.00031278,-0.07,0.08949,0.1101,0.041681049,-0.00156165,-0.12,-0.05185,-0.064,0.020564534
0.0461,0.1045,0.1511,0.001554941,-0.11,0.14625,-0.0591,0.03437864,0.001560528,-0.07,-0.04581,0.0216,-0.039723304,0.00031278,-0.07,0.08949,0.1101,0.041681049
-0.0107,0.0461,0.1045,-0.000621308,-0.15,0.20602,0.0567,0.008548791,0.001554941,-0.11,0.14625,-0.0591,0.03437864,0.001560528,-0.07,-0.04581,0.0216,-0.039723304
-0.0567,-0.0107,0.0461,-0.001557171,-0.15,0.22479,-0.0331,0.0583006,-0.000621308,-0.15,0.20602,0.0567,0.008548791,0.001554941,-0.11,0.14625,-0.0591,0.03437864
-0.0951,-0.0567,-0.0107,-0.004074969,-0.07,-0.06064,0.0359,0.045985544,-0.001557171,-0.15,0.22479,-0.0331,0.0583006,-0.000621308,-0.15,0.20602,0.0567,0.008548791
-0.1568,-0.0951,-0.0567,0.0028252,-0.13,0.18017,0.0337,-0.04224563,-0.004074969,-0.07,-0.06064,0.0359,0.045985544,-0.001557171,-0.15,0.22479,-0.0331,0.0583006
-0.191,-0.1568,-0.0951,0.00156165,-0.17,0.0357,-0.0277,-0.048711049,0.0028252,-0.13,0.18017,0.0337,-0.04224563,-0.004074969,-0.07,-0.06064,0.0359,0.045985544
