x,x_t-1,x_t-2,Y_1t Retail prices index,Y_2t Consumer survey - confidence indicator,Y_3t IBA GBP IBK. LIBOR 3M DELAYED  Inverted,Y_4t Manufacturing survey - production: future tendency,Y_5t FSTE uk stock,Y_1t-1,Y_2t-1,Y_3t-1,Y_4t-1,Y_5t-1,Y_5t-1,Y_1t-6,Y_1t-7,Y_1t-8,Y_1t-9
-0.10915,-0.10773,-0.09156,0.002116403,-0.1,-0.0001133,0.0568,-0.001861962,0.002116403,-0.1,-0.0001133,0.0568,-0.001861962,-0.001411433,0.03,-0.0000044,0.0368,0.005681352
-0.06818,-0.10915,-0.10773,0.028484038,0.09,-0.0000581,-0.105,-0.043368402,0.028484038,0.09,-0.0000581,-0.105,-0.043368402,0.002116403,-0.1,-0.0001133,0.0568,-0.001861962
-0.02563,-0.06818,-0.10915,0.006145461,-0.03,-0.0000274,0.1142,0.012090982,0.006145461,-0.03,-0.0000274,0.1142,0.012090982,0.028484038,0.09,-0.0000581,-0.105,-0.043368402
0.00668,-0.02563,-0.06818,0.004076093,-0.02,0.0000274,-0.0275,0.050781845,0.004076093,-0.02,0.0000274,-0.0275,0.050781845,0.006145461,-0.03,-0.0000274,0.1142,0.012090982
0.04091,0.00668,-0.02563,0.01011813,0.02,-0.0000121,-0.1342,0.017009945,0.01011813,0.02,-0.0000121,-0.1342,0.017009945,0.004076093,-0.02,0.0000274,-0.0275,0.050781845
0.06936,0.04091,0.00668,0.00401876,0.03,0.0000121,0.108,0.023808727,0.00401876,0.03,0.0000121,0.108,0.023808727,0.01011813,0.02,-0.0000121,-0.1342,0.017009945
0.08355,0.06936,0.04091,0.001336006,-0.01,0.0000000,-0.0776,-0.010543081,0.001336006,-0.01,0.0000000,-0.0776,-0.010543081,0.00401876,0.03,0.0000121,0.108,0.023808727
0.06584,0.08355,0.06936,-0.004683849,0.03,-0.0000408,-0.0353,0.042873568,-0.004683849,0.03,-0.0000408,-0.0353,0.042873568,0.001336006,-0.01,0.0000000,-0.0776,-0.010543081
0.04067,0.06584,0.08355,0.005351183,0,0.0000133,0.0403,0.009491128,0.005351183,0,0.0000133,0.0403,0.009491128,-0.004683849,0.03,-0.0000408,-0.0353,0.042873568
0.01225,0.04067,0.06584,0.00465891,-0.01,0.0000000,0.0008,-0.005099411,0.00465891,-0.01,0.0000000,0.0008,-0.005099411,0.005351183,0,0.0000133,0.0403,0.009491128
-0.01154,0.01225,0.04067,-0.005326244,0,0.0000000,-0.0672,-0.004623395,-0.005326244,0,0.0000000,-0.0672,-0.004623395,0.00465891,-0.01,0.0000000,0.0008,-0.005099411
-0.02402,-0.01154,0.01225,0,-0.02,0.0000170,0.0071,0.029264441,0,-0.02,0.0000170,0.0071,0.029264441,-0.005326244,0,0.0000000,-0.0672,-0.004623395
-0.01607,-0.02402,-0.01154,0.005990035,-0.01,0.0000407,-0.0732,0.00884912,0.005990035,-0.01,0.0000407,-0.0732,0.00884912,0,-0.02,0.0000170,0.0071,0.029264441
-0.00199,-0.01607,-0.02402,-0.003323366,0.06,0.0000585,0.1041,0.028691168,-0.003323366,0.06,0.0000585,0.1041,0.028691168,0.005990035,-0.01,0.0000407,-0.0732,0.00884912
0.02079,-0.00199,-0.01607,0.004649626,-0.04,0.0000229,-0.0053,-0.004344055,0.004649626,-0.04,0.0000229,-0.0053,-0.004344055,-0.003323366,0.06,0.0000585,0.1041,0.028691168
0.0252,0.02079,-0.00199,0.003968259,0.01,0.0000256,0.0327,0.004199557,0.003968259,0.01,0.0000256,0.0327,0.004199557,0.004649626,-0.04,0.0000229,-0.0053,-0.004344055
0.01438,0.0252,0.02079,0.007234494,0,0.0000168,-0.084,0.025185935,0.007234494,0,0.0000168,-0.084,0.025185935,0.003968259,0.01,0.0000256,0.0327,0.004199557
-0.01533,0.01438,0.0252,0.001963994,0.02,-0.0000168,0.0081,-0.016624424,0.001963994,0.02,-0.0000168,0.0081,-0.016624424,0.007234494,0,0.0000168,-0.084,0.025185935
-0.02093,-0.01533,0.01438,0.000653808,-0.01,0.0000695,-0.018,-0.022494836,0.000653808,-0.01,0.0000695,-0.018,-0.022494836,0.001963994,0.02,-0.0000168,0.0081,-0.016624424
-0.00426,-0.02093,-0.01533,-0.003929278,0.03,0.0000183,0.1239,-0.004001107,-0.003929278,0.03,0.0000183,0.1239,-0.004001107,0.000653808,-0.01,0.0000695,-0.018,-0.022494836
0.02306,-0.00426,-0.02093,0.004582659,0.01,-0.0000183,-0.0192,0.02846406,0.004582659,0.01,-0.0000183,-0.0192,0.02846406,-0.003929278,0.03,0.0000183,0.1239,-0.004001107
0.04189,0.02306,-0.00426,0.004561754,0.02,0.0000000,-0.0097,0.013316722,0.004561754,0.02,0.0000000,-0.0097,0.013316722,0.004582659,0.01,-0.0000183,-0.0192,0.02846406
0.05091,0.04189,0.02306,0,-0.01,-0.0000526,0.0336,-0.008466671,0,-0.01,-0.0000526,0.0336,-0.008466671,0.004561754,0.02,0.0000000,-0.0097,0.013316722
0.0459,0.05091,0.04189,0.000649984,0.03,-0.0000904,0.0274,0.005711362,0.000649984,0.03,-0.0000904,0.0274,0.005711362,0,-0.01,-0.0000526,0.0336,-0.008466671
0.0553,0.0459,0.05091,0.003243597,-0.05,-0.0000066,-0.0833,-0.004751277,0.003243597,-0.05,-0.0000066,-0.0833,-0.004751277,0.000649984,0.03,-0.0000904,0.0274,0.005711362
