CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y6,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y6_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2,y6_t-2
-0.13,-0.06,0.01,-0.118226296,-0.393496588,0.3876,0.03084,-0.0175,-0.073261493,-0.058943214,-0.21834903,0.7834,-0.02722,-0.0407,-0.006360905,-0.000939644,-0.123285789,1.0037,-0.18127,0.0055,0.063573554
-0.17,-0.13,-0.06,-0.16134156,-0.432371126,-0.04551,-0.06547,-0.0338,-0.053348713,-0.118226296,-0.393496588,0.3876,0.03084,-0.0175,-0.073261493,-0.058943214,-0.21834903,0.7834,-0.02722,-0.0407,-0.006360905
-0.18,-0.17,-0.13,-0.180870688,-0.283269563,-0.32825,-0.88901,-0.0281,0.005210529,-0.16134156,-0.432371126,-0.04551,-0.06547,-0.0338,-0.053348713,-0.118226296,-0.393496588,0.3876,0.03084,-0.0175,-0.073261493
-0.18,-0.18,-0.17,-0.179823983,-0.068096632,-0.3961,-0.38105,-0.03,-0.001056662,-0.180870688,-0.283269563,-0.32825,-0.88901,-0.0281,0.005210529,-0.16134156,-0.432371126,-0.04551,-0.06547,-0.0338,-0.053348713
-0.13,-0.18,-0.18,-0.13593532,0.042358846,-0.3539,0.20059,-0.0383,0.034992481,-0.179823983,-0.068096632,-0.3961,-0.38105,-0.03,-0.001056662,-0.180870688,-0.283269563,-0.32825,-0.88901,-0.0281,0.005210529
-0.03,-0.13,-0.18,-0.025574472,0.091772809,-0.26241,0.12917,-0.0052,-0.026912074,-0.13593532,0.042358846,-0.3539,0.20059,-0.0383,0.034992481,-0.179823983,-0.068096632,-0.3961,-0.38105,-0.03,-0.001056662
0.11,-0.03,-0.13,0.096414064,0.256804722,-0.00595,-0.71555,-0.0995,0.078363407,-0.025574472,0.091772809,-0.26241,0.12917,-0.0052,-0.026912074,-0.13593532,0.042358846,-0.3539,0.20059,-0.0383,0.034992481
0.23,0.11,-0.03,0.217458416,0.377558856,0.3723,-0.83252,0.0408,0.072552729,0.096414064,0.256804722,-0.00595,-0.71555,-0.0995,0.078363407,-0.025574472,0.091772809,-0.26241,0.12917,-0.0052,-0.026912074
0.26,0.23,0.11,0.25562098,0.140278938,0.5132,-0.44788,0.0625,0.025934885,0.217458416,0.377558856,0.3723,-0.83252,0.0408,0.072552729,0.096414064,0.256804722,-0.00595,-0.71555,-0.0995,0.078363407
0.28,0.26,0.23,0.281382346,-0.009153446,0.504,-0.4497,-0.0656,-0.008328662,0.25562098,0.140278938,0.5132,-0.44788,0.0625,0.025934885,0.217458416,0.377558856,0.3723,-0.83252,0.0408,0.072552729
0.27,0.28,0.26,0.269878595,-0.045381624,0.4584,-0.26678,0.0387,0.000728164,0.281382346,-0.009153446,0.504,-0.4497,-0.0656,-0.008328662,0.25562098,0.140278938,0.5132,-0.44788,0.0625,0.025934885
0.26,0.27,0.28,0.257664152,-0.062632592,0.3955,-0.16868,0.0192,0.013917784,0.269878595,-0.045381624,0.4584,-0.26678,0.0387,0.000728164,0.281382346,-0.009153446,0.504,-0.4497,-0.0656,-0.008328662
0.24,0.26,0.27,0.235362812,-0.044932425,0.3504,-0.19652,0.019,0.027443101,0.257664152,-0.062632592,0.3955,-0.16868,0.0192,0.013917784,0.269878595,-0.045381624,0.4584,-0.26678,0.0387,0.000728164
0.16,0.24,0.26,0.158611683,-0.056218864,0.294,-0.59916,0.0629,0.008295399,0.235362812,-0.044932425,0.3504,-0.19652,0.019,0.027443101,0.257664152,-0.062632592,0.3955,-0.16868,0.0192,0.013917784
0.06,0.16,0.24,0.062625136,-0.184927701,0.1087,0.12415,-0.0044,-0.01587618,0.158611683,-0.056218864,0.294,-0.59916,0.0629,0.008295399,0.235362812,-0.044932425,0.3504,-0.19652,0.019,0.027443101
-0.03,0.06,0.16,-0.025106918,-0.262459204,-0.1537,0.07154,0.0267,-0.029798081,0.062625136,-0.184927701,0.1087,0.12415,-0.0044,-0.01587618,0.158611683,-0.056218864,0.294,-0.59916,0.0629,0.008295399
-0.05,-0.03,0.06,-0.043706437,-0.1904838,-0.34371,0.3186,-0.0316,-0.038492813,-0.025106918,-0.262459204,-0.1537,0.07154,0.0267,-0.029798081,0.062625136,-0.184927701,0.1087,0.12415,-0.0044,-0.01587618
-0.03,-0.05,-0.03,-0.037584276,-0.057393678,-0.40089,-0.13064,-0.0355,0.04450065,-0.043706437,-0.1904838,-0.34371,0.3186,-0.0316,-0.038492813,-0.025106918,-0.262459204,-0.1537,0.07154,0.0267,-0.029798081
0.02,-0.03,-0.05,0.01847075,0.095266704,-0.30596,-0.29742,0.004,0.009133663,-0.037584276,-0.057393678,-0.40089,-0.13064,-0.0355,0.04450065,-0.043706437,-0.1904838,-0.34371,0.3186,-0.0316,-0.038492813
0.04,0.02,-0.03,0.043150316,0.164348127,-0.14198,0.25014,0.0276,-0.019082822,0.01847075,0.095266704,-0.30596,-0.29742,0.004,0.009133663,-0.037584276,-0.057393678,-0.40089,-0.13064,-0.0355,0.04450065
0,0.04,0.02,-0.0036208,0.09641046,-0.04566,-0.01562,0.0258,0.021492181,0.043150316,0.164348127,-0.14198,0.25014,0.0276,-0.019082822,0.01847075,0.095266704,-0.30596,-0.29742,0.004,0.009133663
-0.13,0,0.04,-0.139995093,0.004772065,-0.04089,-0.54583,0.0809,0.058241132,-0.0036208,0.09641046,-0.04566,-0.01562,0.0258,0.021492181,0.043150316,0.164348127,-0.14198,0.25014,0.0276,-0.019082822
-0.27,-0.13,0,-0.263961996,-0.099780544,-0.14058,-0.05822,-0.0381,-0.036900553,-0.139995093,0.004772065,-0.04089,-0.54583,0.0809,0.058241132,-0.0036208,0.09641046,-0.04566,-0.01562,0.0258,0.021492181
-0.36,-0.27,-0.13,-0.349685255,-0.195896875,-0.33601,0.15167,-0.0508,-0.063886438,-0.263961996,-0.099780544,-0.14058,-0.05822,-0.0381,-0.036900553,-0.139995093,0.004772065,-0.04089,-0.54583,0.0809,0.058241132
-0.31,-0.36,-0.27,-0.303236695,-0.221237106,-0.55626,0.20975,-0.071,-0.041426165,-0.349685255,-0.195896875,-0.33601,0.15167,-0.0508,-0.063886438,-0.263961996,-0.099780544,-0.14058,-0.05822,-0.0381,-0.036900553
-0.19,-0.31,-0.36,-0.19770047,-0.190358951,-0.74538,-0.37491,0.0029,0.045167248,-0.303236695,-0.221237106,-0.55626,0.20975,-0.071,-0.041426165,-0.349685255,-0.195896875,-0.33601,0.15167,-0.0508,-0.063886438
-0.04,-0.19,-0.31,-0.049153002,-0.063644491,-0.80853,-1.64382,0.0593,0.053463051,-0.19770047,-0.190358951,-0.74538,-0.37491,0.0029,0.045167248,-0.303236695,-0.221237106,-0.55626,0.20975,-0.071,-0.041426165
0.1,-0.04,-0.19,0.091893859,0.129564274,-0.67993,-1.12636,-0.0499,0.047491081,-0.049153002,-0.063644491,-0.80853,-1.64382,0.0593,0.053463051,-0.19770047,-0.190358951,-0.74538,-0.37491,0.0029,0.045167248
0.18,0.1,-0.04,0.17600148,0.151908215,-0.52894,-0.03579,0.0417,0.023707857,0.091893859,0.129564274,-0.67993,-1.12636,-0.0499,0.047491081,-0.049153002,-0.063644491,-0.80853,-1.64382,0.0593,0.053463051
0.21,0.18,0.1,0.209262934,0.070206832,-0.45908,-0.24769,0.0274,0.004412645,0.17600148,0.151908215,-0.52894,-0.03579,0.0417,0.023707857,0.091893859,0.129564274,-0.67993,-1.12636,-0.0499,0.047491081
0.22,0.21,0.18,0.217020639,-0.001255773,-0.46033,-0.75277,0.0408,0.017718269,0.209262934,0.070206832,-0.45908,-0.24769,0.0274,0.004412645,0.17600148,0.151908215,-0.52894,-0.03579,0.0417,0.023707857
0.22,0.22,0.21,0.216666115,-0.008238261,-0.46853,-0.19893,0.0312,0.019805873,0.217020639,-0.001255773,-0.46033,-0.75277,0.0408,0.017718269,0.209262934,0.070206832,-0.45908,-0.24769,0.0274,0.004412645
0.2,0.22,0.22,0.203424971,-0.025733866,-0.49414,-0.00814,0.0458,-0.020763913,0.216666115,-0.008238261,-0.46853,-0.19893,0.0312,0.019805873,0.217020639,-0.001255773,-0.46033,-0.75277,0.0408,0.017718269
0.19,0.2,0.22,0.190430519,-0.112800675,-0.60632,0.02048,0.0175,-0.002586453,0.203424971,-0.025733866,-0.49414,-0.00814,0.0458,-0.020763913,0.216666115,-0.008238261,-0.46853,-0.19893,0.0312,0.019805873
0.16,0.19,0.2,0.157374974,-0.157236156,-0.76248,-0.09257,-0.0183,0.015627411,0.190430519,-0.112800675,-0.60632,0.02048,0.0175,-0.002586453,0.203424971,-0.025733866,-0.49414,-0.00814,0.0458,-0.020763913
0.16,0.16,0.19,0.161389373,-0.127008421,-0.88844,0.05185,-0.0442,-0.00837118,0.157374974,-0.157236156,-0.76248,-0.09257,-0.0183,0.015627411,0.190430519,-0.112800675,-0.60632,0.02048,0.0175,-0.002586453
0.15,0.16,0.16,0.140146094,-0.047876713,-0.93588,-0.08949,0.0721,0.05744162,0.161389373,-0.127008421,-0.88844,0.05185,-0.0442,-0.00837118,0.157374974,-0.157236156,-0.76248,-0.09257,-0.0183,0.015627411
0.11,0.15,0.16,0.109520707,0.022356756,-0.91373,0.04581,0.0263,0.002871629,0.140146094,-0.047876713,-0.93588,-0.08949,0.0721,0.05744162,0.161389373,-0.127008421,-0.88844,0.05185,-0.0442,-0.00837118
0.05,0.11,0.15,0.044650518,0.094468963,-0.82008,-0.14625,-0.0603,0.031592553,0.109520707,0.022356756,-0.91373,0.04581,0.0263,0.002871629,0.140146094,-0.047876713,-0.93588,-0.08949,0.0721,0.05744162
0,0.05,0.11,0.000723212,0.176482755,-0.64489,-0.20602,0.0434,-0.004348715,0.044650518,0.094468963,-0.82008,-0.14625,-0.0603,0.031592553,0.109520707,0.022356756,-0.91373,0.04581,0.0263,0.002871629
-0.05,0,0.05,-0.060824814,0.308606567,-0.3378,-0.22479,-0.0116,0.0629268,0.000723212,0.176482755,-0.64489,-0.20602,0.0434,-0.004348715,0.044650518,0.094468963,-0.82008,-0.14625,-0.0603,0.031592553
-0.09,-0.05,0,-0.095915352,0.320620257,-0.01775,0.06064,0.027,0.034876784,-0.060824814,0.308606567,-0.3378,-0.22479,-0.0116,0.0629268,0.000723212,0.176482755,-0.64489,-0.20602,0.0434,-0.004348715
-0.15,-0.09,-0.05,-0.148305315,0.218549841,0.201,-0.18017,0.0277,-0.01022016,-0.095915352,0.320620257,-0.01775,0.06064,0.027,0.034876784,-0.060824814,0.308606567,-0.3378,-0.22479,-0.0116,0.0629268
-0.18,-0.15,-0.09,-0.170662526,0.146996228,0.3484,-0.0357,-0.0218,-0.05765543,-0.148305315,0.218549841,0.201,-0.18017,0.0277,-0.01022016,-0.095915352,0.320620257,-0.01775,0.06064,0.027,0.034876784
-0.17,-0.18,-0.15,-0.166091814,0.153944688,0.503,0.06223,-0.0208,-0.023728419,-0.170662526,0.146996228,0.3484,-0.0357,-0.0218,-0.05765543,-0.148305315,0.218549841,0.201,-0.18017,0.0277,-0.01022016
-0.12,-0.17,-0.18,-0.117779857,0.155893666,0.6598,-0.06254,0.0575,-0.01341038,-0.166091814,0.153944688,0.503,0.06223,-0.0208,-0.023728419,-0.170662526,0.146996228,0.3484,-0.0357,-0.0218,-0.05765543
-0.07,-0.12,-0.17,-0.064125331,0.128072389,0.7888,-0.03941,0.0214,-0.03588422,-0.117779857,0.155893666,0.6598,-0.06254,0.0575,-0.01341038,-0.166091814,0.153944688,0.503,0.06223,-0.0208,-0.023728419
-0.05,-0.07,-0.12,-0.053144264,0.091436602,0.881,0.07851,-0.0377,0.018689834,-0.064125331,0.128072389,0.7888,-0.03941,0.0214,-0.03588422,-0.117779857,0.155893666,0.6598,-0.06254,0.0575,-0.01341038
-0.03,-0.05,-0.07,-0.037789964,0.098978567,0.9809,0.31108,0.0953,0.045680364,-0.053144264,0.091436602,0.881,0.07851,-0.0377,0.018689834,-0.064125331,0.128072389,0.7888,-0.03941,0.0214,-0.03588422
-0.07,-0.03,-0.05,-0.065797047,0.071572079,1.0532,0.19066,-0.0304,-0.025541136,-0.037789964,0.098978567,0.9809,0.31108,0.0953,0.045680364,-0.053144264,0.091436602,0.881,0.07851,-0.0377,0.018689834
-0.09,-0.07,-0.03,-0.087225725,0.02434065,1.0778,0.20659,0.0067,-0.016785747,-0.065797047,0.071572079,1.0532,0.19066,-0.0304,-0.025541136,-0.037789964,0.098978567,0.9809,0.31108,0.0953,0.045680364
-0.11,-0.09,-0.07,-0.112192912,-0.018700216,1.0589,0.15066,0.0201,0.013071666,-0.087225725,0.02434065,1.0778,0.20659,0.0067,-0.016785747,-0.065797047,0.071572079,1.0532,0.19066,-0.0304,-0.025541136
-0.11,-0.11,-0.09,-0.106747777,-0.028205353,1.0304,0.30149,0.0217,-0.019706237,-0.112192912,-0.018700216,1.0589,0.15066,0.0201,0.013071666,-0.087225725,0.02434065,1.0778,0.20659,0.0067,-0.016785747
-0.07,-0.11,-0.11,-0.070092241,-0.047323688,0.9826,0.21093,-0.0233,0.000553295,-0.106747777,-0.028205353,1.0304,0.30149,0.0217,-0.019706237,-0.112192912,-0.018700216,1.0589,0.15066,0.0201,0.013071666
-0.03,-0.07,-0.11,-0.031286745,-0.124256976,0.8572,0.16613,0.0412,0.007690817,-0.070092241,-0.047323688,0.9826,0.21093,-0.0233,0.000553295,-0.106747777,-0.028205353,1.0304,0.30149,0.0217,-0.019706237
0,-0.03,-0.07,-0.001450814,-0.136622954,0.7195,-0.07837,-0.0249,0.008667215,-0.031286745,-0.124256976,0.8572,0.16613,0.0412,0.007690817,-0.070092241,-0.047323688,0.9826,0.21093,-0.0233,0.000553295
0.03,0,-0.03,0.023495274,-0.04230463,0.6769,0.01079,-0.0374,0.038286005,-0.001450814,-0.136622954,0.7195,-0.07837,-0.0249,0.008667215,-0.031286745,-0.124256976,0.8572,0.16613,0.0412,0.007690817
0.07,0.03,0,0.065313434,0.023140665,0.7002,0.03983,0.0442,0.027731306,0.023495274,-0.04230463,0.6769,0.01079,-0.0374,0.038286005,-0.001450814,-0.136622954,0.7195,-0.07837,-0.0249,0.008667215
