CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
0.19,0.2,0.22,0.118690658,-0.112800675,-0.60632,0.02048,0.0175,0.069428363,-0.025733866,-0.49414,-0.00814,0.0458,0.206778445,-0.008238261,-0.46853,-0.19893,0.0312
0.16,0.19,0.2,0.294390905,-0.157236156,-0.76248,-0.09257,-0.0183,0.118690658,-0.112800675,-0.60632,0.02048,0.0175,0.069428363,-0.025733866,-0.49414,-0.00814,0.0458
0.16,0.16,0.19,0.030599217,-0.127008421,-0.88844,0.05185,-0.0442,0.294390905,-0.157236156,-0.76248,-0.09257,-0.0183,0.118690658,-0.112800675,-0.60632,0.02048,0.0175
0.15,0.16,0.16,0.013004156,-0.047876713,-0.93588,-0.08949,0.0721,0.030599217,-0.127008421,-0.88844,0.05185,-0.0442,0.294390905,-0.157236156,-0.76248,-0.09257,-0.0183
0.11,0.15,0.16,0.198373998,0.022356756,-0.91373,0.04581,0.0263,0.013004156,-0.047876713,-0.93588,-0.08949,0.0721,0.030599217,-0.127008421,-0.88844,0.05185,-0.0442
0.05,0.11,0.15,-0.201831352,0.094468963,-0.82008,-0.14625,-0.0603,0.198373998,0.022356756,-0.91373,0.04581,0.0263,0.013004156,-0.047876713,-0.93588,-0.08949,0.0721
0,0.05,0.11,0.303565189,0.176482755,-0.64489,-0.20602,0.0434,-0.201831352,0.094468963,-0.82008,-0.14625,-0.0603,0.198373998,0.022356756,-0.91373,0.04581,0.0263
-0.05,0,0.05,-0.097065098,0.308606567,-0.3378,-0.22479,-0.0116,0.303565189,0.176482755,-0.64489,-0.20602,0.0434,-0.201831352,0.094468963,-0.82008,-0.14625,-0.0603
-0.09,-0.05,0,0.157830836,0.320620257,-0.01775,0.06064,0.027,-0.097065098,0.308606567,-0.3378,-0.22479,-0.0116,0.303565189,0.176482755,-0.64489,-0.20602,0.0434
-0.15,-0.09,-0.05,-0.324489262,0.218549841,0.201,-0.18017,0.0277,0.157830836,0.320620257,-0.01775,0.06064,0.027,-0.097065098,0.308606567,-0.3378,-0.22479,-0.0116
