CLI,CLI_t-1,CLI_t-2,y0,y1,y2,y4,y0_t-1,y1_t-1,y2_t-1,y4_t-1,y0_t-2,y1_t-2,y2_t-2,y4_t-2
0.05,0.05,0.04,0.509059923,-0.014589202,0.7521,0.0302,0.47129603,0.005259807,0.7668,0.0174,0.423116069,0.020049349,0.7615,0.0161
0.05,0.05,0.05,0.546823815,-0.029085509,0.7228,-0.0751,0.509059923,-0.014589202,0.7521,0.0302,0.47129603,0.005259807,0.7668,0.0174
0.08,0.05,0.05,0.584587708,0.02581009,0.7488,0.006,0.546823815,-0.029085509,0.7228,-0.0751,0.509059923,-0.014589202,0.7521,0.0302
0.1,0.08,0.05,0.507029257,0.083340945,0.8328,-0.0015,0.584587708,0.02581009,0.7488,0.006,0.546823815,-0.029085509,0.7228,-0.0751
0.11,0.1,0.08,0.429470806,0.112499275,0.9463,0.0389,0.507029257,0.083340945,0.8328,-0.0015,0.584587708,0.02581009,0.7488,0.006
0.12,0.11,0.1,0.351912356,0.144427944,1.0922,-0.0143,0.429470806,0.112499275,0.9463,0.0389,0.507029257,0.083340945,0.8328,-0.0015
0.1,0.12,0.11,0.307551104,0.164861921,1.259,-0.0287,0.351912356,0.144427944,1.0922,-0.0143,0.429470806,0.112499275,0.9463,0.0389
0.08,0.1,0.12,0.263189853,0.150983643,1.412,-0.0129,0.307551104,0.164861921,1.259,-0.0287,0.351912356,0.144427944,1.0922,-0.0143
0.07,0.08,0.1,0.218828602,0.102597924,1.5161,0.0514,0.263189853,0.150983643,1.412,-0.0129,0.307551104,0.164861921,1.259,-0.0287
0.08,0.07,0.08,0.357102996,0.025411459,1.5419,-0.021,0.218828602,0.102597924,1.5161,0.0514,0.263189853,0.150983643,1.412,-0.0129
0.06,0.08,0.07,0.495377391,-0.012803416,1.5289,0.0128,0.357102996,0.025411459,1.5419,-0.021,0.218828602,0.102597924,1.5161,0.0514
0.02,0.06,0.08,0.633651786,-0.053890804,1.4742,0.0478,0.495377391,-0.012803416,1.5289,0.0128,0.357102996,0.025411459,1.5419,-0.021
-0.01,0.02,0.06,0.471209662,-0.048694179,1.4248,-0.0366,0.633651786,-0.053890804,1.4742,0.0478,0.495377391,-0.012803416,1.5289,0.0128
-0.02,-0.01,0.02,0.308767538,-0.037571834,1.3867,0.0081,0.471209662,-0.048694179,1.4248,-0.0366,0.633651786,-0.053890804,1.4742,0.0478
-0.03,-0.02,-0.01,0.146325414,0.053838722,1.4413,-0.0476,0.308767538,-0.037571834,1.3867,0.0081,0.471209662,-0.048694179,1.4248,-0.0366
-0.04,-0.03,-0.02,0.179651108,0.082772244,1.5253,0.0154,0.146325414,0.053838722,1.4413,-0.0476,0.308767538,-0.037571834,1.3867,0.0081
-0.08,-0.04,-0.03,0.212976802,0.035846706,1.5617,-0.0275,0.179651108,0.082772244,1.5253,0.0154,0.146325414,0.053838722,1.4413,-0.0476
-0.15,-0.08,-0.04,0.246302495,0.008368946,1.5702,-0.0278,0.212976802,0.035846706,1.5617,-0.0275,0.179651108,0.082772244,1.5253,0.0154
-0.24,-0.15,-0.08,0.175447575,-0.035252772,1.5344,-0.0552,0.246302495,0.008368946,1.5702,-0.0278,0.212976802,0.035846706,1.5617,-0.0275
-0.32,-0.24,-0.15,0.104592654,-0.061968644,1.4715,-0.0333,0.175447575,-0.035252772,1.5344,-0.0552,0.246302495,0.008368946,1.5702,-0.0278
-0.37,-0.32,-0.24,0.033737733,-0.053033874,1.4177,0.0013,0.104592654,-0.061968644,1.4715,-0.0333,0.175447575,-0.035252772,1.5344,-0.0552
-0.32,-0.37,-0.32,0.111972913,-0.06766394,1.3491,-0.0709,0.033737733,-0.053033874,1.4177,0.0013,0.104592654,-0.061968644,1.4715,-0.0333
-0.21,-0.32,-0.37,0.190208092,-0.054282602,1.2941,-0.0006,0.111972913,-0.06766394,1.3491,-0.0709,0.033737733,-0.053033874,1.4177,0.0013
-0.06,-0.21,-0.32,0.268443271,0.007897483,1.3021,-0.0751,0.190208092,-0.054282602,1.2941,-0.0006,0.111972913,-0.06766394,1.3491,-0.0709
0.13,-0.06,-0.21,0.26768109,0.105371697,1.4089,-0.0132,0.268443271,0.007897483,1.3021,-0.0751,0.190208092,-0.054282602,1.2941,-0.0006
0.28,0.13,-0.06,0.266918909,0.110383011,1.5209,0.0912,0.26768109,0.105371697,1.4089,-0.0132,0.268443271,0.007897483,1.3021,-0.0751
0.41,0.28,0.13,0.266156728,0.148922407,1.6722,-0.0245,0.266918909,0.110383011,1.5209,0.0912,0.26768109,0.105371697,1.4089,-0.0132
0.48,0.41,0.28,0.191541909,0.095850469,1.7697,0.0056,0.266156728,0.148922407,1.6722,-0.0245,0.266918909,0.110383011,1.5209,0.0912
0.5,0.48,0.41,0.11692709,-0.011300662,1.7582,0.0195,0.191541909,0.095850469,1.7697,0.0056,0.266156728,0.148922407,1.6722,-0.0245
0.42,0.5,0.48,0.042312272,-0.030174111,1.7275,0.0521,0.11692709,-0.011300662,1.7582,0.0195,0.191541909,0.095850469,1.7697,0.0056
0.32,0.42,0.5,0.247494842,0.016808201,1.7446,0.1214,0.042312272,-0.030174111,1.7275,0.0521,0.11692709,-0.011300662,1.7582,0.0195
