CLI,CLI_t-1,CLI_t-2,y1,y1_t-1,y1_t-2,y2,y2_t-1,y2_t-2,y3,y3_t-1,y3_t-2,y4,y4_t-1,y4_t-2,y5,y5_t-1,y5_t-2
-0.18,-0.18,-0.17,-0.068096632,-0.283269563,-0.432371126,-0.3961,-0.32825,-0.04551,-0.38105,-0.88901,-0.06547,-0.03,-0.0281,-0.0338,-0.001056104,0.005224127,-0.051950643
-0.13,-0.18,-0.18,0.042358846,-0.068096632,-0.283269563,-0.3539,-0.3961,-0.32825,0.20059,-0.38105,-0.88901,-0.0383,-0.03,-0.0281,0.035611922,-0.001056104,0.005224127
-0.03,-0.13,-0.18,0.091772809,0.042358846,-0.068096632,-0.26241,-0.3539,-0.3961,0.12917,0.20059,-0.38105,-0.0052,-0.0383,-0.03,-0.026553171,0.035611922,-0.001056104
0.11,-0.03,-0.13,0.256804722,0.091772809,0.042358846,-0.00595,-0.26241,-0.3539,-0.71555,0.12917,0.20059,-0.0995,-0.0052,-0.0383,0.081515618,-0.026553171,0.035611922
0.23,0.11,-0.03,0.377558856,0.256804722,0.091772809,0.3723,-0.00595,-0.26241,-0.83252,-0.71555,0.12917,0.0408,-0.0995,-0.0052,0.075249502,0.081515618,-0.026553171
0.26,0.23,0.11,0.140278938,0.377558856,0.256804722,0.5132,0.3723,-0.00595,-0.44788,-0.83252,-0.71555,0.0625,0.0408,-0.0995,0.026274121,0.075249502,0.081515618
0.28,0.26,0.23,-0.009153446,0.140278938,0.377558856,0.504,0.5132,0.3723,-0.4497,-0.44788,-0.83252,-0.0656,0.0625,0.0408,-0.008294075,0.026274121,0.075249502
0.27,0.28,0.26,-0.045381624,-0.009153446,0.140278938,0.4584,0.504,0.5132,-0.26678,-0.4497,-0.44788,0.0387,-0.0656,0.0625,0.000728429,-0.008294075,0.026274121
0.26,0.27,0.28,-0.062632592,-0.045381624,-0.009153446,0.3955,0.4584,0.504,-0.16868,-0.26678,-0.4497,0.0192,0.0387,-0.0656,0.014015088,0.000728429,-0.008294075
0.24,0.26,0.27,-0.044932425,-0.062632592,-0.045381624,0.3504,0.3955,0.4584,-0.19652,-0.16868,-0.26678,0.019,0.0192,0.0387,0.027823131,0.014015088,0.000728429
0.16,0.24,0.26,-0.056218864,-0.044932425,-0.062632592,0.294,0.3504,0.3955,-0.59916,-0.19652,-0.16868,0.0629,0.019,0.0192,0.008329901,0.027823131,0.014015088
0.06,0.16,0.24,-0.184927701,-0.056218864,-0.044932425,0.1087,0.294,0.3504,0.12415,-0.59916,-0.19652,-0.0044,0.0629,0.019,-0.015750818,0.008329901,0.027823131
-0.03,0.06,0.16,-0.262459204,-0.184927701,-0.056218864,-0.1537,0.1087,0.294,0.07154,0.12415,-0.59916,0.0267,-0.0044,0.0629,-0.029358495,-0.015750818,0.008329901
-0.05,-0.03,0.06,-0.1904838,-0.262459204,-0.184927701,-0.34371,-0.1537,0.1087,0.3186,0.07154,0.12415,-0.0316,0.0267,-0.0044,-0.03776138,-0.029358495,-0.015750818
-0.03,-0.05,-0.03,-0.057393678,-0.1904838,-0.262459204,-0.40089,-0.34371,-0.1537,-0.13064,0.3186,0.07154,-0.0355,-0.0316,0.0267,0.045505656,-0.03776138,-0.029358495
0.02,-0.03,-0.05,0.095266704,-0.057393678,-0.1904838,-0.30596,-0.40089,-0.34371,-0.29742,-0.13064,0.3186,0.004,-0.0355,-0.0316,0.009175503,0.045505656,-0.03776138
