x_t,x_t-1,x_t-2,GDP_M,INDPRO,RPIX,RMTS,PAYEMS,GDP_M_t-1,INDPRO_t-1,RPIX_t-1,RMTS_t-1,PAYEMS_t-1,GDP_M_t-2,INDPRO_t-2,RPIX_t-2,RMTS_-2,PAYEMS_t-2
,,,0.541951843,1.479823154,,,0.751703472,0.576839057,0.124389916,,,0.271078423,0.699050568,2.902142369,,,0.88757121
,,,0.684592019,1.939488075,0.362080712,0.733599139,0.399369148,0.541951843,1.479823154,,,0.751703472,0.576839057,0.124389916,,,0.271078423
,,,0.852943227,1.429992509,0.732484093,-0.337373749,0.616830398,0.684592019,1.939488075,0.362080712,0.733599139,0.399369148,0.541951843,1.479823154,,,0.751703472
,,,0.895189109,2.108009919,0.702869207,1.991538145,0.577422021,0.852943227,1.429992509,0.732484093,-0.337373749,0.616830398,0.684592019,1.939488075,0.362080712,0.733599139,0.399369148
,,,0.659513307,1.495352567,0.661773055,0.683883597,0.428554707,0.895189109,2.108009919,0.702869207,1.991538145,0.577422021,0.852943227,1.429992509,0.732484093,-0.337373749,0.616830398
,,,0.290183289,0.113747307,0.301186903,-0.00968375,0.244332451,0.659513307,1.495352567,0.661773055,0.683883597,0.428554707,0.895189109,2.108009919,0.702869207,1.991538145,0.577422021
,,,-0.068533478,-2.423681941,-0.07621493,1.2154517,0.228869244,0.290183289,0.113747307,0.301186903,-0.00968375,0.244332451,0.659513307,1.495352567,0.661773055,0.683883597,0.428554707
,,,-0.272369526,-3.446383658,-0.575489042,-5.252068981,-0.873628853,-0.068533478,-2.423681941,-0.07621493,1.2154517,0.228869244,0.290183289,0.113747307,0.301186903,-0.00968375,0.244332451
,,,-0.280432649,-0.121078741,0,1.465957416,0.17234278,-0.272369526,-3.446383658,-0.575489042,-5.252068981,-0.873628853,-0.068533478,-2.423681941,-0.07621493,1.2154517,0.228869244
,,,-0.051830642,-0.729113629,0.11697559,0.161964271,-0.131103347,-0.280432649,-0.121078741,0,1.465957416,0.17234278,-0.272369526,-3.446383658,-0.575489042,-5.252068981,-0.873628853
,,,0.454328701,0.60788811,0.666963781,-3.67179553,0.515927569,-0.051830642,-0.729113629,0.11697559,0.161964271,-0.131103347,-0.280432649,-0.121078741,0,1.465957416,0.17234278
,,,0.933796341,5.99819788,1.138774002,4.961374638,1.001789322,0.454328701,0.60788811,0.666963781,-3.67179553,0.515927569,-0.051830642,-0.729113629,0.11697559,0.161964271,-0.131103347
,,,1.082323237,2.591875277,0.466090823,1.696315703,0.184420235,0.933796341,5.99819788,1.138774002,4.961374638,1.001789322,0.454328701,0.60788811,0.666963781,-3.67179553,0.515927569
,,,0.595660352,-0.893668426,0.090595772,1.440348097,0.439391443,1.082323237,2.591875277,0.466090823,1.696315703,0.184420235,0.933796341,5.99819788,1.138774002,4.961374638,1.001789322
,,,-0.089058655,-0.902148234,0.09051377,-2.803969077,-0.108289676,0.595660352,-0.893668426,0.090595772,1.440348097,0.439391443,1.082323237,2.591875277,0.466090823,1.696315703,0.184420235
,,,-0.534700123,-0.795633944,0.361238024,0.985257015,0.657108353,-0.089058655,-0.902148234,0.09051377,-2.803969077,-0.108289676,0.595660352,-0.893668426,0.090595772,1.440348097,0.439391443
,,,-0.304130391,-0.114301995,0.242709064,-3.151788758,-0.618551127,-0.534700123,-0.795633944,0.361238024,0.985257015,0.657108353,-0.089058655,-0.902148234,0.09051377,-2.803969077,-0.108289676
,,,0.175385198,-1.265159979,-0.023462245,0.855275515,-0.233406647,-0.304130391,-0.114301995,0.242709064,-3.151788758,-0.618551127,-0.534700123,-0.795633944,0.361238024,0.985257015,0.657108353
,,,0.476581302,-0.348075479,0.19144744,-0.686601297,-0.077309629,0.175385198,-1.265159979,-0.023462245,0.855275515,-0.233406647,-0.304130391,-0.114301995,0.242709064,-3.151788758,-0.618551127
,,,0.172192581,-0.115862344,-0.254040353,-0.126524897,-0.06262779,0.476581302,-0.348075479,0.19144744,-0.686601297,-0.077309629,0.175385198,-1.265159979,-0.023462245,0.855275515,-0.233406647
,,,-0.354565941,-1.052343762,0.027389221,1.6089671,-0.082950078,0.172192581,-0.115862344,-0.254040353,-0.126524897,-0.06262779,0.476581302,-0.348075479,0.19144744,-0.686601297,-0.077309629
,,,-0.720479238,-0.11722459,0.312488048,-1.90320629,-0.156871462,-0.354565941,-1.052343762,0.027389221,1.6089671,-0.082950078,0.172192581,-0.115862344,-0.254040353,-0.126524897,-0.06262779
,,,-0.542332285,-1.421958601,-0.574950249,-0.98218918,-0.334866135,-0.720479238,-0.11722459,0.312488048,-1.90320629,-0.156871462,-0.354565941,-1.052343762,0.027389221,1.6089671,-0.082950078
,,,-0.091259929,-1.927804026,-0.586165844,0.782275992,-0.406674469,-0.542332285,-1.421958601,-0.574950249,-0.98218918,-0.334866135,-0.720479238,-0.11722459,0.312488048,-1.90320629,-0.156871462
,,,0.36160298,0.121667447,0.868187182,-3.616753797,-0.109844088,-0.091259929,-1.927804026,-0.586165844,0.782275992,-0.406674469,-0.542332285,-1.421958601,-0.574950249,-0.98218918,-0.334866135
,,,0.545121594,-0.121667447,0.007822584,1.222127242,-0.234987053,0.36160298,0.121667447,0.868187182,-3.616753797,-0.109844088,-0.091259929,-1.927804026,-0.586165844,0.782275992,-0.406674469
,,,0.56804897,0.606412485,0.491593203,2.356804184,0.190270166,0.545121594,-0.121667447,0.007822584,1.222127242,-0.234987053,0.36160298,0.121667447,0.868187182,-3.616753797,-0.109844088
,,,0.539138169,2.034898279,0.345785841,-2.913670215,-0.059653638,0.56804897,0.606412485,0.491593203,2.356804184,0.190270166,0.545121594,-0.121667447,0.007822584,1.222127242,-0.234987053
,,,0.567142248,1.528323299,0.595516068,2.840577509,0.296053767,0.539138169,2.034898279,0.345785841,-2.913670215,-0.059653638,0.56804897,0.606412485,0.491593203,2.356804184,0.190270166
,,,0.617888321,1.390653541,0.798744694,1.794140171,0.354481965,0.567142248,1.528323299,0.595516068,2.840577509,0.296053767,0.539138169,2.034898279,0.345785841,-2.913670215,-0.059653638
,,,0.657203504,1.144144124,0.236858301,-2.002740779,0.270120423,0.617888321,1.390653541,0.798744694,1.794140171,0.354481965,0.567142248,1.528323299,0.595516068,2.840577509,0.296053767
,,,0.650914909,0.905814743,0.426456116,3.530534842,0.322815971,0.657203504,1.144144124,0.236858301,-2.002740779,0.270120423,0.617888321,1.390653541,0.798744694,1.794140171,0.354481965
,,,0.630119108,-0.112464237,0.193588855,0.587397232,0.165614744,0.650914909,0.905814743,0.426456116,3.530534842,0.322815971,0.657203504,1.144144124,0.236858301,-2.002740779,0.270120423
,,,0.625912673,1.900256183,1.063719434,-0.170481003,0.246074865,0.630119108,-0.112464237,0.193588855,0.587397232,0.165614744,0.650914909,0.905814743,0.426456116,3.530534842,0.322815971
,,,0.669392176,1.53877492,0.915056152,1.587662239,0.402694936,0.625912673,1.900256183,1.063719434,-0.170481003,0.246074865,0.630119108,-0.112464237,0.193588855,0.587397232,0.165614744
,,,0.700355207,0.868439691,0.54873891,0.078233602,0.23719609,0.669392176,1.53877492,0.915056152,1.587662239,0.402694936,0.625912673,1.900256183,1.063719434,-0.170481003,0.246074865
,,,0.658599358,-0.868845377,-0.136902691,0.768735933,0.034620045,0.700355207,0.868439691,0.54873891,0.078233602,0.23719609,0.669392176,1.53877492,0.915056152,1.587662239,0.402694936
,,,0.483922221,1.622891612,0.483868933,-0.428238336,0.53961377,0.658599358,-0.868845377,-0.136902691,0.768735933,0.034620045,0.700355207,0.868439691,0.54873891,0.078233602,0.23719609
,,,0.290082247,0.535030994,0.661062307,1.111670719,0.15751884,0.483922221,1.622891612,0.483868933,-0.428238336,0.53961377,0.658599358,-0.868845377,-0.136902691,0.768735933,0.034620045
,,,0.190837887,0.212975731,0.623987137,-0.733517243,0.589844509,0.290082247,0.535030994,0.661062307,1.111670719,0.15751884,0.483922221,1.622891612,0.483868933,-0.428238336,0.53961377
,,,0.299947594,-0.106629469,0.141769231,0.956946408,0.046749978,0.190837887,0.212975731,0.623987137,-0.733517243,0.589844509,0.290082247,0.535030994,0.661062307,1.111670719,0.15751884
,,,0.465563088,-0.213203189,0.123429915,-0.788845835,0.028758358,0.299947594,-0.106629469,0.141769231,0.956946408,0.046749978,0.190837887,0.212975731,0.623987137,-0.733517243,0.589844509
,,,0.535836089,0.956839115,0.47414896,-0.545225776,0.183140369,0.465563088,-0.213203189,0.123429915,-0.788845835,0.028758358,0.299947594,-0.106629469,0.141769231,0.956946408,0.046749978
,,,0.358918317,0.105839893,0.111875,2.304440292,0.164898231,0.535836089,0.956839115,0.47414896,-0.545225776,0.183140369,0.465563088,-0.213203189,0.123429915,-0.788845835,0.028758358
